"id","place","HadExam","Age","Sex","Jobstt","height","weight","BMI","HealthIns","Wsttime","Wstmon","Lessbelqual","NotImp","Tangibles","Empathy","SuitFreq","SuffInfo","AttractInfo","ImpressInfo","PopularInfo"
"m00081","hanoi",0,21,"female","student",159,50,19.77769867,"yes","no","no","no","yes",3,4,"6m",2,3,3,3
"m00082","hanoi",1,26,"female","stable",155,43,17.89802289,"yes","no","no","no","no",2,4,"6m",3,3,4,2
"m00083","hanoi",0,22,"female","stable",167,46,16.49395819,"yes","yes","yes","yes","yes",4,5,"6m",5,4,3,5
"m00084","hanoi",0,22,"female","student",158,42,16.82422689,"yes","yes","yes","no","no",3,2,"12m",2,2,2,3
"m00085","bacgiang",1,23,"female","student",150,42,18.66666667,"no","no","no","no","no",3,5,"12m",3,2,2,2
"m00086","bacgiang",1,30,"female","housewife",154,55,23.19109462,"no","yes","no","no","no",4,4,"6m",2,1,2,2
"m00087","hanoi",1,33,"female","stable",160,53,20.703125,"yes","no","no","no","no",4,5,"6m",3,3,5,5
"m00088","hanoi",1,36,"female","stable",147,44.5,20.59327132,"yes","yes","yes","no","no",5,5,"12m",3,1,2,3
"m00089","hanoi",1,32,"female","stable",161,54,20.83252961,"yes","no","no","no","no",5,5,"6m",5,4,2,2
"m00090","hanoi",1,27,"female","stable",162,48,18.28989483,"yes","no","no","no","no",3,4,"6m",5,5,1,1
"m00091","hanoi",1,24,"female","stable",156,52,21.36752137,"yes","no","no","no","no",3,3,"6m",4,1,2,3
"m00092","hanoi",0,36,"male","stable",162,54,20.57613169,"yes","yes","no","yes","no",2,3,"6m",4,5,5,1
"m00093","hanoi",0,38,"female","housewife",150,45,20,"yes","yes","yes","no","no",1,1,"g18m",1,1,1,1
"m00094","hanoi",0,32,"male","stable",172,60,20.2812331,"yes","no","no","no","yes",3,3,"6m",3,2,4,2
"m00095","hanoi",1,64,"male","retirer",165,57,20.93663912,"yes","no","no","no","no",4,3,"6m",5,5,5,5
"m00096","hanoi",1,25,"male","stable",172,59,19.94321255,"yes","no","no","no","no",4,5,"6m",2,2,2,2
"m00097","hanoi",1,28,"female","housewife",155,55,22.89281998,"yes","no","no","no","yes",3,4,"12m",5,2,4,3
"m00098","hanoi",0,23,"female","housewife",156,52,21.36752137,"no","yes","no","no","no",2,3,"6m",5,3,3,5
"m00099","hanoi",0,27,"female","stable",160,46,17.96875,"no","no","no","no","no",5,5,"6m",2,2,2,3
"m00100","hanoi",0,30,"male","stable",176,59,19.04700413,"yes","no","no","no","no",4,3,"12m",2,2,2,3
"m00101","hanoi",1,21,"male","student",176,78,25.18078512,"no","no","no","no","no",4,4,"6m",3,2,3,2
"m00102","hanoi",1,25,"male","stable",172,65,21.97133586,"yes","no","no","no","no",4,5,"6m",5,2,4,3
"m00103","hanoi",0,24,"female","stable",157,45,18.25631871,"yes","yes","yes","yes","no",3,3,"6m",2,2,1,2
"m00104","hanoi",0,30,"male","stable",172,75,25.35154137,"no","no","no","no","no",4,4,"6m",2,3,3,3
"m00105","hanoi",1,23,"female","stable",165,67,24.6097337,"no","no","no","no","no",5,5,"12m",3,2,3,3
"m00106","hanoi",0,26,"male","stable",170,60,20.76124567,"no","no","no","no","yes",5,5,"6m",5,1,2,3
"m00107","hanoi",0,27,"male","stable",164,64,23.7953599,"yes","yes","no","no","yes",3,1,"6m",1,1,1,2
"m00108","hanoi",0,31,"male","stable",170,80,27.6816609,"yes","no","no","yes","no",2,1,"12m",2,2,2,1
"m00109","hanoi",0,31,"female","stable",151,51,22.36744002,"yes","no","no","no","yes",3,2,"6m",3,1,1,2
"m00110","hanoi",0,36,"male","unstable",164,58,21.56454491,"yes","yes","no","no","no",5,3,"6m",2,2,2,4
"m00111","hanoi",0,27,"male","stable",175,80,26.12244898,"no","yes","no","no","no",5,5,"12m",4,2,2,3
"m00112","hanoi",1,18,"female","student",160,51,19.921875,"yes","no","yes","no","no",2,2,"6m",3,4,4,4
"m00113","hanoi",1,42,"female","other",156,47,19.31295201,"no","no","no","no","yes",3,5,"12m",5,5,4,4
"m00114","hanoi",0,58,"female","other",158,52,20.82999519,"yes","yes","no","no","no",4,4,"6m",5,4,4,4
"m00115","thanhhoa",0,36,"female","unstable",150,65,28.88888889,"yes","no","no","no","no",3,1,"6m",4,3,4,3
"m00116","hanoi",0,23,"male","stable",170,60,20.76124567,"yes","yes","no","yes","no",3,2.5,"12m",3,2,2,2
"m00117","hanoi",0,35,"female","stable",154,60,25.29937595,"yes","no","no","no","yes",5,4,"12m",4,2,4,4
"m00118","hanoi",1,25,"female","stable",164,52,19.33372992,"yes","yes","no","yes","no",4,4,"6m",3,1,3,2
"m00119","hanoi",1,27,"female","stable",158,50,20.02884153,"yes","no","no","no","no",5,5,"6m",3,2,1,1
"m00120","hanoi",1,28,"female","stable",162,52,19.81405274,"yes","no","no","no","no",4,5,"12m",2,1,2,2
"m00121","hanoi",0,19,"female","student",158,45,18.02595738,"yes","no","no","no","yes",3,3,"g18m",2,2,2,2
"m00122","hanoi",0,24,"female","stable",163,48,18.06616734,"no","yes","no","no","yes",4,5,"6m",3,1,2,2
"m00123","hanoi",1,18,"female","student",163,45,16.93703188,"no","yes","yes","no","yes",4,5,"6m",3,3,4,5
"m00124","hanoi",1,34,"female","stable",150,45,20,"yes","yes","no","no","yes",3,2,"12m",3,2,3,3
"m00125","hanoi",1,43,"female","stable",156,52,21.36752137,"yes","no","no","no","no",3,3,"6m",3,2,3,2
"m00126","hanoi",0,22,"female","stable",157,54,21.90758246,"no","yes","no","no","no",3,5,"6m",2,3,2,3
"m00127","hanoi",0,20,"female","student",167,55,19.72103697,"yes","no","no","no","yes",4,5,"6m",1,1,2,2
"m00128","hanoi",1,26,"female","stable",165,50,18.36547291,"yes","yes","no","no","yes",5,5,"6m",2,1,1,1
"m00129","hungyen",1,34,"male","stable",170,63,21.79930796,"no","no","no","no","no",4,2,"6m",5,1,1,2
"m00130","hanoi",1,27,"female","stable",160,62,24.21875,"yes","no","no","no","no",5,5,"6m",4,2,2,3
"m00131","hanoi",1,23,"male","stable",172,60,20.2812331,"yes","no","no","no","yes",3,4,"6m",3,3,4,4
"m00132","bacninh",1,30,"male","stable",170,50,17.30103806,"no","no","no","no","yes",3,2.5,"6m",3,2,2,3
"m00133","hochiminh",1,22,"male","other",163,55,20.70081674,"no","no","no","no","no",5,5,"6m",4,1,1,2
"m00134","hanoi",0,46,"female","stable",163,54,20.32443826,"yes","no","no","no","no",3,4,"12m",4,2,3,3
"m00135","hanam",0,29,"male","stable",171,73,24.96494648,"no","yes","no","no","yes",4,5,"6m",5,1,1,4
"m00136","hungyen",1,24,"female","housewife",163,61,22.95908766,"no","no","no","no","no",4,4,"6m",4,4,3,4
"m00137","hanoi",0,23,"female","unstable",153,49,20.93212012,"no","no","no","no","yes",5,4,"6m",3,3,3,3
"m00138","hanoi",1,22,"female","student",165,45,16.52892562,"yes","no","no","no","no",4,4,"6m",2,3,2,3
"m00139","thanhhoa",0,29,"female","stable",157,55,22.31327843,"yes","yes","no","no","yes",3,1,"12m",4,3,3,5
"m00140","hanoi",1,21,"female","student",160,47,18.359375,"yes","no","no","no","yes",4,4,"12m",4,2,3,3
"m00141","hanoi",1,40,"female","stable",153,56,23.922423,"yes","no","no","no","yes",4,5,"12m",2,2,2,2
"m00142","hanoi",0,24,"female","stable",160,48,18.75,"no","no","no","no","yes",5,5,"12m",1,1,1,1
"m00143","hanoi",0,28,"male","stable",169,55,19.25702882,"no","no","no","no","yes",5,5,"12m",3,3,1,2
"m00144","hanoi",1,26,"female","stable",150,55,24.44444444,"no","yes","no","no","no",4,5,"12m",5,5,5,5
"m00145","hanam",1,40,"male","unstable",177,74,23.62028791,"yes","no","no","no","no",5,5,"6m",1,1,1,1
"m00146","hanoi",1,29,"female","stable",160,53,20.703125,"yes","no","no","yes","no",2,3,"6m",2,2,2,2
"m00147","hanoi",1,27,"female","stable",155,46,19.14672216,"yes","yes","no","yes","no",3,4,"12m",1,1,1,1
"m00148","hanoi",0,34,"female","stable",160,75,29.296875,"yes","yes","no","no","yes",3,3,"6m",2,2,2,3
"m00149","hanoi",0,28,"female","other",164,48,17.84651993,"yes","yes","no","no","yes",3,4,"12m",2,3,4,3
"m00150","hanoi",0,29,"male","stable",170,53,18.33910035,"no","no","no","no","yes",5,5,"6m",2,1,1,2
"m00151","hanoi",0,29,"male","stable",170,56,19.37716263,"yes","no","no","yes","yes",3.5,1,"6m",1,1,1,1
"m00152","hanoi",0,28,"female","unstable",159,53,20.96436059,"yes","no","no","no","yes",4,5,"6m",2,2,2,2
"m00153","hanoi",0,25,"female","unstable",158,50,20.02884153,"yes","no","no","no","yes",5,5,"12m",5,3,4,4
"m00154","hanoi",0,38,"male","stable",163,60,22.58270917,"no","no","no","no","yes",4,5,"6m",2,2,2,2
"m00155","hanoi",1,30,"female","stable",150,52,23.11111111,"yes","no","no","no","yes",4,5,"6m",3,3,3,4
"m00156","hanoi",1,50,"female","stable",155,48,19.97918835,"yes","no","no","no","no",3,2,"6m",1,1,1,1
"m00157","hanoi",0,32,"female","stable",156,54,22.18934911,"yes","yes","no","no","no",5,5,"6m",1,1,1,1
"m00158","hanoi",1,42,"male","stable",172,68,22.98539751,"yes","no","no","no","no",3,4,"12m",1,1,2,2
"m00159","hanoi",0,25,"female","stable",157,46,18.66201469,"no","no","no","no","yes",3,3,"6m",4,3,3,3
"m00160","hanoi",1,41,"female","stable",157,52.5,21.2990385,"yes","yes","no","no","no",2,3,"6m",2,2,2,2
"m00161","hanoi",0,20,"female","student",160,44,17.1875,"yes","yes","no","no","yes",4,5,"6m",2,1,2,2
"m00162","hanoi",1,26,"female","stable",155,52,21.64412071,"yes","no","no","no","no",3,5,"6m",5,5,5,5
"m00163","hanoi",0,28,"female","stable",160,47,18.359375,"yes","yes","no","yes","yes",2,2,"12m",2,1,1,2
"m00164","vinhphuc",1,26,"male","stable",170,60,20.76124567,"yes","no","no","no","yes",3,3,"6m",3,2,2,3
"m00165","hanoi",1,23,"female","other",155,47,19.56295525,"no","no","no","no","no",5,5,"12m",5,5,5,2
"m00166","hanoi",0,25,"female","stable",158,50,20.02884153,"no","yes","yes","yes","yes",2,2,"6m",1,1,1,2
"m00167","hanoi",0,30,"female","housewife",150,70,31.11111111,"yes","yes","no","no","yes",4,4,"6m",1,1,1,1
"m00168","hanoi",0,31,"male","stable",168,55,19.48696145,"yes","no","no","no","yes",4,5,"6m",5,4,2,1
"m00169","hanoi",0,24,"female","housewife",160,48,18.75,"no","yes","no","no","no",5,5,"6m",2,2,2,4
"m00170","hanoi",1,36,"female","stable",150,45,20,"yes","yes","no","no","no",3,4,"6m",3,4,3,4
"m00171","hanoi",0,41,"female","stable",157,53,21.50188649,"yes","no","no","no","yes",3,5,"12m",1,1,1,1
"m00172","hanoi",1,32,"male","stable",162,55,20.95717116,"no","no","no","no","no",5,5,"6m",4,4,3,3
"m00173","hanoi",1,20,"female","housewife",162,57,21.71925011,"no","no","no","no","yes",5,5,"6m",5,5,3,5
"m00174","hanoi",1,25,"female","housewife",155,56,23.30905307,"no","yes","yes","yes","no",5,5,"6m",2,2,2,2
"m00175","hanoi",1,27,"male","stable",175,71,23.18367347,"yes","no","no","no","yes",3,2,"6m",2,2,2,3
"m00176","hanoi",1,29,"female","stable",156,46,18.90203813,"yes","no","no","no","yes",4,5,"6m",3,1,2,2
"m00177","hanoi",0,30,"male","stable",168,60,21.2585034,"no","no","no","no","yes",5,5,"12m",4,3,4,4
"m00178","hanoi",0,32,"male","stable",172,63,21.29529475,"no","yes","no","no","yes",4,3,"6m",1,1,1,1
"m00179","hanoi",0,19,"female","student",157,45,18.25631871,"yes","yes","no","yes","yes",3,4,"12m",3,4,3,3
"m00180","hanoi",1,27,"female","stable",158,50,20.02884153,"yes","yes","yes","no","no",2,2,"6m",2,2,2,2
"m00181","hanoi",1,24,"female","stable",152,56,24.23822715,"yes","yes","no","no","no",4,4,"12m",4,2,3,3
"m00182","hanoi",1,32,"female","stable",152,56,24.23822715,"no","no","no","no","no",4,4,"12m",4,4,4,4
"m00183","hanoi",1,23,"female","other",158,53,21.23057202,"yes","no","no","no","yes",5,5,"12m",1,1,1,1
"m00184","hanoi",0,35,"female","stable",155,43,17.89802289,"yes","yes","no","no","yes",3,5,"12m",1,1,1,1
"m00185","hanoi",1,34,"female","stable",163,47,17.68978885,"yes","no","no","no","no",5,5,"6m",5,5,5,5
"m00186","hanoi",1,30,"male","stable",164,55,20.44913742,"yes","no","no","no","no",5,5,"6m",5,5,5,5
"m00187","hanoi",0,31,"male","unstable",175,80,26.12244898,"no","no","no","no","yes",3,3,"12m",1,1,1,1
"m00188","hanoi",1,25,"female","stable",150,42,18.66666667,"no","no","no","no","no",5,5,"6m",3,2,3,3
"m00189","hanoi",0,30,"male","unstable",160,58,22.65625,"no","no","no","no","yes",2,3,"12m",5,5,5,5
"m00190","hanoi",0,26,"female","housewife",168,76,26.92743764,"yes","no","no","no","no",3,5,"6m",4,4,4,4
"m00191","hanoi",1,22,"male","unstable",165,59,21.67125803,"no","no","no","no","no",5,5,"6m",4,1,3,3
"m00192","hanoi",0,26,"female","stable",167,60,21.51385851,"yes","yes","no","no","no",3,3,"6m",1,1,1,2
"m00193","hanoi",1,26,"female","stable",160,50,19.53125,"yes","no","no","no","yes",5,5,"6m",3,2,3,3
"m00194","hanoi",1,53,"female","unstable",157,50,20.28479857,"no","no","no","no","no",4,5,"6m",4,4,5,5
"m00195","hanoi",1,18,"female","student",180,50,15.43209877,"yes","yes","yes","no","no",1,1,"12m",5,5,4,4
"m00196","hanoi",0,22,"male","unstable",168,57,20.19557823,"no","no","no","no","yes",2,3,"6m",3,1,1,2
"m00197","hanoi",1,30,"female","stable",162,60,22.86236854,"yes","no","no","no","no",4,4,"6m",2,1,2,3
"m00198","hanoi",0,27,"male","stable",175,65,21.2244898,"yes","no","no","no","yes",3,2,"g18m",2,2,4,4
"m00199","hanoi",0,28,"female","stable",160,50,19.53125,"yes","no","no","no","yes",4,3,"6m",4,3,4,5
"m00200","hanoi",0,20,"female","unstable",162,48,18.28989483,"no","yes","no","no","no",3,4,"6m",2,2,2,2
"m00201","hanoi",0,32,"male","stable",166,60,21.77384236,"yes","yes","no","yes","yes",3,2,"6m",1,2,2,2
"m00202","hanoi",0,24,"female","student",153,42,17.94181725,"yes","no","no","no","yes",5,5,"6m",1,1,1,1
"m00203","hanoi",1,28,"female","stable",155,46,19.14672216,"no","no","no","no","no",4,3,"6m",2,2,2,2
"m00204","hanoi",1,24,"female","stable",162,55,20.95717116,"yes","no","no","no","yes",4,4,"6m",4,3,3,2
"m00205","hanoi",1,25,"female","stable",157,47,19.06771066,"no","yes","no","no","no",4,3,"6m",4,5,5,3
"m00206","hanoi",0,24,"female","stable",153,40,17.087445,"yes","no","no","no","no",3,3,"6m",2,2,2,2
"m00207","hanoi",1,24,"female","stable",152,40,17.31301939,"no","no","no","no","no",4,3,"6m",4,3,3,3
"m00208","hanoi",0,24,"female","stable",160,60,23.4375,"yes","yes","no","no","yes",3.5,3.5,"6m",2,4,3,3
"m00209","hanoi",0,29,"male","stable",170,65,22.49134948,"yes","yes","no","no","no",3,1,"6m",5,4,4,5
"m00210","hanoi",1,24,"male","stable",172,64,21.63331531,"yes","yes","no","no","no",1,1,"6m",1,1,3,2
"m00211","thanhhoa",1,18,"female","student",150,42,18.66666667,"yes","no","no","yes","no",4,3,"6m",3,3,4,3
"m00212","hanoi",1,27,"female","housewife",160,47,18.359375,"yes","no","no","no","no",5,5,"12m",2,1,2,2
"m00213","hanoi",1,56,"male","other",163,63,23.71184463,"yes","no","no","no","no",5,5,"6m",3,3,2,2
"m00214","namdinh",0,18,"female","student",157,41,16.63353483,"yes","yes","yes","yes","no",2,3,"g18m",3,3,3,3
"m00215","namdinh",1,18,"female","student",160,40,15.625,"yes","yes","yes","yes","no",5,5,"12m",4,2,2,4
"m00216","hanoi",0,18,"female","student",153,45,19.22337562,"no","no","no","no","no",4,4,"12m",5,4,4,4
"m00217","hanoi",1,17,"female","student",158,48,19.22768787,"no","no","no","no","no",4.5,4.5,"12m",4,4,4.5,4.5
"m00218","hanoi",0,18,"female","student",151,48,21.05170826,"yes","no","yes","yes","yes",4,4,"6m",4,3,4,4
"m00219","hanoi",0,18,"female","student",150,45,20,"yes","yes","no","yes","yes",2,1,"12m",3,2,1,3
"m00220","hanoi",1,40,"female","stable",147,49,22.67573696,"yes","yes","no","no","no",3,3,"6m",3,1,1,1
"m00221","bacninh",1,31,"female","stable",153,48,20.504934,"yes","no","no","no","yes",5,5,"12m",5,5,5,3
"m00222","namdinh",1,59,"female","other",160,39,15.234375,"no","yes","yes","no","no",5,5,"g18m",1,1,1,1
"m00223","hanoi",0,33,"female","stable",163,52,19.57168128,"no","no","no","no","yes",4,5,"g18m",3,2,2,2
"m00224","hanoi",0,19,"female","stable",155,60,24.97398543,"no","no","no","no","yes",5,5,"6m",5,5,5,2
"m00225","hanoi",0,19,"female","other",149,41,18.46763659,"no","yes","no","no","yes",5,5,"6m",1,1,1,1
"m00226","hanoi",1,33,"female","stable",152,52,22.50692521,"yes","yes","yes","yes","yes",3,3,"6m",3,2,3,3
"m00227","hanoi",1,32,"female","stable",155,50,20.81165453,"no","no","no","no","no",3,5,"6m",5,3,5,4
"m00228","hanoi",1,23,"male","student",183,76,22.69401893,"yes","no","no","no","no",4,4,"6m",4,4,2,3
"m00229","hungyen",1,28,"male","stable",170,63,21.79930796,"yes","no","no","no","no",5,5,"6m",2,2,2,2
"m00230","hanoi",0,24,"female","stable",155,55,22.89281998,"yes","yes","no","no","no",5,5,"6m",2,2,2,2
"m00231","hanoi",1,19,"female","student",156,61,25.06574622,"no","yes","yes","yes","yes",3,1,"g18m",3,2,3,4
"m00232","hanoi",0,22,"male","student",170,75,25.95155709,"yes","yes","yes","yes","yes",1,1,"g18m",2,2,2,2
"m00233","thanhhoa",0,18,"female","student",163,51,19.1953028,"no","yes","no","no","yes",3,2,"12m",2,2,3,4
"m00234","hanoi",0,19,"female","student",167,55,19.72103697,"yes","no","no","no","no",4.5,4,"12m",4,3,3,3
